CIDADE;QUANTIDADE_CRIMES;QUANTIDADE_POPULACAO;CRIMES_POR_100K
Igarapava;83;26019;319.0
Cachoeira Paulista;79;31604;250.0
Paraguaçu Paulista;79;40894;193.0
José Bonifácio;77;36889;209.0
Bom Jesus dos Perdões;77;22168;347.0
3546306.0;77;0;inf
Nazaré Paulista;76;18305;415.0
Cerquilho;76;44954;169.0
Casa Branca;75;28028;268.0
Dois Córregos;75;24434;307.0
Pitangueiras;74;33478;221.0
Cândido Mota;74;29339;252.0
Cajuru;73;23795;307.0
Piraju;73;29383;248.0
Ilha Solteira;72;25498;282.0
Rio das Pedras;71;31419;226.0
São Miguel Arcanjo;70;32031;219.0
Iperó;69;37032;186.0
Monte Aprazível;67;22328;300.0
Guapiaçu;67;21976;305.0
Bariri;65;31570;206.0
Piracaia;64;26070;245.0
Iracemápolis;64;22070;290.0
Itaí;64;25226;254.0
Potirendaba;63;18720;337.0
Taquarituba;62;24452;254.0
Américo Brasiliense;62;32753;189.0
Tanabi;62;25349;245.0
Alumínio;62;17277;359.0
Aguaí;62;32025;194.0
Colina;61;18553;329.0
Pilar do Sul;60;27616;217.0
Brotas;60;24033;250.0
Pradópolis;59;16992;347.0
Guará;58;18441;315.0
3547601.0;57;0;inf
Teodoro Sampaio;57;22114;258.0
Igaraçu do Tietê;57;23025;248.0
Serra Negra;56;30031;186.0
Brodowski;55;25458;216.0
Tambaú;54;21331;253.0
Ilha Comprida;53;13733;386.0
Patrocínio Paulista;53;14584;363.0
Viradouro;52;17395;299.0
Palmital;52;19438;268.0
Adamantina;52;34706;150.0
Estiva Gerbi;52;11359;458.0
Rancharia;52;28496;182.0
Buritama;52;17311;300.0
Barra Bonita;51;34183;149.0
Igaratá;51;10721;476.0
Angatuba;51;24113;212.0
Biritiba Mirim;50;29689;168.0
Tabapuã;49;11302;434.0
Guararapes;48;30926;155.0
Macatuba;48;16808;286.0
Cesário Lange;47;19306;243.0
Presidente Venceslau;47;34834;135.0
Itariri;46;15501;297.0
3546009.0;45;0;inf
Itirapina;44;16187;272.0
Guaiçara;44;11262;391.0
Holambra;44;15389;286.0
Pereira Barreto;43;23953;180.0
Vargem;42;10621;395.0
Nova Granada;42;19401;216.0
Pirapora do Bom Jesus;41;18549;221.0
Valparaíso;41;24284;169.0
Castilho;41;20080;204.0
Engenheiro Coelho;40;19858;201.0
Morungaba;40;13897;288.0
Cerqueira César;40;21732;184.0
Buri;40;20336;197.0
Mirandópolis;39;27927;140.0
Pirapozinho;39;25302;154.0
Ipuã;38;14445;263.0
Capela do Alto;38;23248;163.0
Paraibuna;38;17666;215.0
Águas de Lindóia;37;17937;206.0
São Simão;37;13313;278.0
Fartura;37;16682;222.0
Pariquera-Açu;37;19252;192.0
Avanhandava;37;11222;330.0
Piratininga;36;15328;235.0
Guapiara;36;16927;213.0
Elias Fausto;36;17817;202.0
Porangaba;36;10588;340.0
Conchas;35;15105;232.0
Cafelândia;35;16614;211.0
Restinga;35;6355;551.0
Lucélia;35;20003;175.0
Bady Bassitt;35;28264;124.0
Bálsamo;34;9716;350.0
Mirante do Paranapanema;34;15781;215.0
Osvaldo Cruz;34;31243;109.0
Joanópolis;34;12836;265.0
Pinhalzinho;34;15357;221.0
Glicério;34;4084;833.0
Vera Cruz;33;10125;326.0
Altinópolis;33;16878;196.0
Guatapará;33;7327;450.0
Cristais Paulista;33;9365;352.0
Pedro de Toledo;32;11340;282.0
Itapuí;32;13786;232.0
Cedral;32;12977;247.0
Jacupiranga;32;15944;201.0
Panorama;31;14918;208.0
Iacanga;31;10463;296.0
Sales Oliveira;31;11460;271.0
Monte Azul Paulista;30;18050;166.0
Caconde;30;16953;177.0
Boa Esperança do Sul;30;12895;233.0
Laranjal Paulista;30;26310;114.0
Pirangi;30;10914;275.0
Rinópolis;30;9197;326.0
Gália;30;6305;476.0
Arealva;30;8150;368.0
Regente Feijó;30;20225;148.0
3546504.0;29;0;inf
Ipaussu;29;13698;212.0
Auriflama;29;13634;213.0
Apiaí;29;24477;118.0
Martinópolis;29;24870;117.0
Guareí;28;15024;186.0
3547700.0;28;0;inf
Aramina;27;5450;495.0
Ariranha;27;7504;360.0
Iacri;27;6101;443.0
Colômbia;27;6660;405.0
Pindorama;27;14464;187.0
Pompéia;27;20154;134.0
Barra do Turvo;26;6784;383.0
Estrela d'Oeste;26;9499;274.0
Bernardino de Campos;26;11650;223.0
Corumbataí;26;4206;618.0
Ribeirão Bonito;26;10852;240.0
Cananéia;26;12240;212.0
Nova Europa;26;9269;281.0
Urupês;26;13803;188.0
Álvares Machado;26;27495;95.0
Severínia;25;14425;173.0
Potim;25;20443;122.0
Taguaí;25;12774;196.0
Rincão;25;8946;279.0
Ibirá;24;11746;204.0
3547007.0;24;0;inf
Bofete;24;10501;229.0
Queluz;24;8964;268.0
Cunha;24;22110;109.0
Tabatinga;24;14735;163.0
Ipeúna;24;6888;348.0
Águas de Santa Bárbara;24;7275;330.0
Borborema;24;14174;169.0
Getulina;24;10157;236.0
Terra Roxa;23;7862;293.0
Bastos;23;21539;107.0
3545605.0;23;0;inf
Charqueada;23;15535;148.0
Valentim Gentil;23;14307;161.0
Urânia;23;8822;261.0
Mineiros do Tietê;23;11152;206.0
São Luiz do Paraitinga;23;10340;222.0
Cardoso;22;11297;195.0
Dobrada;22;8823;249.0
Saltinho;22;8218;268.0
Pirajuí;22;22333;99.0
Nuporanga;22;7434;296.0
Sete Barras;21;12661;166.0
Santa Gertrudes;21;23696;89.0
Paraíso;21;6111;344.0
Salesópolis;21;15146;139.0
Paranapanema;21;15781;133.0
Monteiro Lobato;21;4143;507.0
Nhandeara;20;9766;205.0
Itaberá;20;17966;111.0
Piquete;20;12334;162.0
Guaraci;20;10382;193.0
Cajobi;20;9056;221.0
Sarapuí;20;10463;191.0
Roseira;20;10900;183.0
Duartina;19;12332;154.0
Palestina;19;11481;165.0
Junqueirópolis;19;20518;93.0
3547908.0;19;0;inf
Chavantes;19;12163;156.0
Parapuã;19;10537;180.0
Canas;19;4964;383.0
Pedregulho;19;15499;123.0
Alambari;19;6227;305.0
Salto Grande;19;9049;210.0
-1.0;18;0;inf
Pongaí;18;3381;532.0
São José da Bela Vista;18;7554;238.0
Luís Antônio;18;12312;146.0
Lavrinhas;18;7206;250.0
Itajobi;18;17204;105.0
Pereiras;18;8791;205.0
Vista Alegre do Alto;18;8194;220.0
Tupi Paulista;18;15943;113.0
Analândia;18;4613;390.0
Taiúva;17;6626;257.0
Dumont;17;9561;178.0
Jaci;17;7736;220.0
Jambeiro;17;6480;262.0
Poloni;17;5575;305.0
3546207.0;17;0;inf
Itatinga;17;19093;89.0
Guaimbê;16;5495;291.0
Santa Cruz das Palmeiras;16;28738;56.0
Cosmorama;16;8827;181.0
Ipiguá;16;6938;231.0
Tarumã;16;15012;107.0
Pardinho;16;7248;221.0
Rosana;15;17204;87.0
Quatá;15;13166;114.0
Sabino;15;5091;295.0
Divinolândia;15;11120;135.0
Palmeira d'Oeste;15;8841;170.0
Guarantã;15;6421;234.0
Itaporanga;15;13998;107.0
Bocaina;15;11261;133.0
Ribeirão Branco;15;18620;81.0
Clementina;15;6951;216.0
Torrinha;15;9321;161.0
Mendonça;15;6278;239.0
Serra Azul;14;12858;109.0
Rifaina;14;4100;341.0
Lagoinha;14;5092;275.0
São Sebastião da Grama;14;10296;136.0
Santo Antônio do Aracanguá;14;8395;167.0
Maracaí;13;12551;104.0
Tuiuti;13;6819;191.0
Nova Aliança;13;6748;193.0
Guaraçaí;13;7320;178.0
Quadra;13;3416;381.0
Herculândia;13;9145;142.0
Águas da Prata;12;7355;163.0
Presidente Bernardes;12;14510;83.0
Eldorado;12;12887;93.0
Ubarana;12;5326;225.0
Tarabai;12;6490;185.0
Palmares Paulista;12;9516;126.0
Pacaembu;11;14981;73.0
Sales;11;6504;169.0
Tapiraí;11;8001;137.0
Guzolândia;11;4189;263.0
Riolândia;11;10259;107.0
Pedra Bela;11;6619;166.0
3548203.0;11;0;inf
General Salgado;11;10285;107.0
Santa Isabel;11;53232;21.0
Uchoa;10;10458;96.0
Campina do Monte Alegre;10;5989;167.0
Icém;10;7834;128.0
3548104.0;10;0;inf
Sud Mennucci;10;7321;137.0
Júlio Mesquita;10;4245;236.0
Iepê;10;7594;132.0
Anhembi;10;5660;177.0
Ouroeste;10;10404;96.0
Itirapuã;10;5745;174.0
Águas de São Pedro;10;2774;360.0
Paulo de Faria;9;7311;123.0
Gavião Peixoto;9;4721;191.0
Meridiano;9;4625;195.0
Catiguá;9;6959;129.0
Pratânia;9;5158;174.0
Iaras;9;8109;111.0
São Bento do Sapucaí;9;11737;77.0
Monte Alegre do Sul;9;8739;103.0
Ibirarema;9;6314;143.0
Barra do Chapéu;9;5162;174.0
Taquarivaí;9;6988;129.0
Narandiba;9;5830;154.0
Santo Antônio de Posse;9;23408;38.0
Canitar;9;6444;140.0
Três Fronteiras;9;6909;130.0
Taiaçu;9;5642;160.0
Fernando Prestes;8;5973;134.0
Bananal;8;9929;81.0
3515194.0;8;0;inf
Jeriquara;8;3909;205.0
Dourado;8;8054;99.0
Rafard;8;8964;89.0
Indiaporã;8;4047;198.0
Pontalinda;8;4104;195.0
Sebastianópolis do Sul;8;3130;256.0
Boracéia;7;4773;147.0
Américo de Campos;7;5874;119.0
Echaporã;7;6181;113.0
Ribeirão do Sul;7;4670;150.0
Itobi;7;8072;87.0
Mombuca;7;3741;187.0
Oriente;7;6069;115.0
Natividade da Serra;7;6998;100.0
3546108.0;7;0;inf
3547650.0;7;0;inf
Adolfo;7;4410;159.0
Onda Verde;7;4813;145.0
Orindiúva;7;6035;116.0
Redenção da Serra;7;4536;154.0
Salmourão;7;4791;146.0
Mira Estrela;7;3138;223.0
Bilac;7;7307;96.0
Manduri;7;9925;71.0
Tapiratiba;7;11709;60.0
Luiziânia;6;4667;129.0
Planalto;6;4361;138.0
Lutécia;6;2655;226.0
Suzanápolis;6;3402;176.0
Santana da Ponte Pensa;6;1671;359.0
Paulicéia;6;8040;75.0
3545704.0;6;0;inf
Elisiário;6;3130;192.0
Indiana;6;5085;118.0
Paulistânia;6;2118;283.0
Motuca;6;3980;151.0
Macaubal;5;7444;67.0
Floreal;5;2707;185.0
Parisi;5;2953;169.0
Novais;5;4388;114.0
Reginópolis;5;7701;65.0
Guarani d'Oeste;5;1963;255.0
Coroados;5;5395;93.0
Ocauçu;5;4340;115.0
