CIDADE,QUANTIDADE_CRIMES,QUANTIDADE_POPULACAO,CRIMES_POR_100K,IDMH,cod_ibge,cod_ra,reg_administrativa,reg_metropolitanas,ideb2019
Atibaia,625,160959,388.0,0.76,3504107,686,RA de Campinas,Demais municípios,4.6
Arujá,615,87470,703.0,0.78,3503901,681,RM  de São Paulo,RM de Sao Paulo,4.3
Birigui,599,119496,501.0,0.78,3506508,690,RA de Araçatuba,Demais municípios,4.8
Jandira,587,118391,496.0,0.76,3525003,681,RM  de São Paulo,RM de Sao Paulo,4.5
Campo Limpo Paulista,582,77665,749.0,0.76,3509601,686,RA de Campinas,RM de Jundiai,4.6
Bragança Paulista,576,178980,322.0,0.77,3507605,686,RA de Campinas,Demais municípios,4.6
Mairiporã,558,94534,590.0,0.78,3528502,681,RM  de São Paulo,RM de Sao Paulo,4.4
Jaguariúna,543,60420,899.0,0.78,3524709,686,RA de Campinas,RM de Campinas,4.9
Ubatuba,539,94009,573.0,0.75,3555406,684,RA de São José dos Campos,RM do Vale do Paraiba e Litoral Norte,4.4
Várzea Paulista,526,116105,453.0,0.75,3556503,686,RA de Campinas,RM de Jundiai,4.5
Caieiras,509,95414,533.0,0.78,3509007,681,RM  de São Paulo,RM de Sao Paulo,4.6
Moji Mirim,504,92791,543.0,0.78,3530805,686,RA de Campinas,Demais municípios,4.8
Caçapava,496,96808,512.0,0.78,3508504,684,RA de São José dos Campos,RM do Vale do Paraiba e Litoral Norte,4.8
Itatiba,484,122969,394.0,0.77,3523404,686,RA de Campinas,RM de Campinas,5.2
Catanduva,472,115807,408.0,0.78,3511102,689,RA de São José do Rio Preto,Demais municípios,5.2
Itu,472,168918,279.0,0.77,3523909,685,RA de Sorocaba,RM de Sorocaba,4.6
Bertioga,465,65374,711.0,0.73,3506359,683,RA de Santos,RM da Baixada Santista,4.2
Jaboticabal,453,71689,632.0,0.77,3524303,687,RA de Ribeirão Preto,RM de Ribeirao Preto,4.4
Botucatu,443,146232,303.0,0.8,3507506,685,RA de Sorocaba,Demais municípios,4.1
Sertãozinho,442,127904,346.0,0.76,3551702,687,RA de Ribeirão Preto,RM de Ribeirao Preto,5.2
Valinhos,433,127691,339.0,0.81,3556206,686,RA de Campinas,RM de Campinas,4.9
Jaú,427,133548,320.0,0.77,3525300,688,RA de Bauru,Demais municípios,5.0
Itapetininga,414,158556,261.0,0.76,3522307,685,RA de Sorocaba,RM de Sorocaba,4.7
Matão,412,79018,521.0,0.77,3529302,693,RA Central,Demais municípios,4.9
Santana de Parnaíba,407,157395,259.0,0.81,3547304,681,RM  de São Paulo,RM de Sao Paulo,4.6
Guaratinguetá,405,118349,342.0,0.79,3518404,684,RA de São José dos Campos,RM do Vale do Paraiba e Litoral Norte,4.5
Itapira,403,72187,558.0,0.76,3522604,686,RA de Campinas,Demais municípios,4.7
Tatuí,397,125110,317.0,0.75,3554003,685,RA de Sorocaba,RM de Sorocaba,4.5
Votorantim,382,129255,296.0,0.76,3557006,685,RA de Sorocaba,RM de Sorocaba,4.7
Bebedouro,381,76339,499.0,0.78,3506102,694,RA de Barretos,Demais municípios,4.7
Leme,376,98373,382.0,0.74,3526704,686,RA de Campinas,RM de Piracicaba,4.6
Embu-Guaçu,354,66979,529.0,0.74,3515103,681,RM  de São Paulo,RM de Sao Paulo,4.5
São Sebastião,348,81958,425.0,0.77,3550704,684,RA de São José dos Campos,RM do Vale do Paraiba e Litoral Norte,4.7
Boituva,339,62054,546.0,0.78,3507001,685,RA de Sorocaba,RM de Sorocaba,4.3
Cruzeiro,333,74529,447.0,0.78,3513405,684,RA de São José dos Campos,RM do Vale do Paraiba e Litoral Norte,4.6
Ibiúna,329,75753,434.0,0.71,3519709,685,RA de Sorocaba,RM de Sorocaba,4.6
Ourinhos,325,103680,313.0,0.77,3534708,692,RA de Marília,Demais municípios,4.7
Pirassununga,324,73665,440.0,0.8,3539301,686,RA de Campinas,RM de Piracicaba,4.7
Salto,323,136375,237.0,0.78,3545209,685,RA de Sorocaba,RM de Sorocaba,4.8
São Roque,322,79332,406.0,0.76,3550605,685,RA de Sorocaba,RM de Sorocaba,5.0
Assis,309,101665,304.0,0.8,3504008,692,RA de Marília,Demais municípios,4.9
Lorena,300,84830,354.0,0.76,3527207,684,RA de São José dos Campos,RM do Vale do Paraiba e Litoral Norte,4.2
Cosmópolis,284,59707,476.0,0.76,3512803,686,RA de Campinas,RM de Campinas,5.4
Ibitinga,277,60442,458.0,0.74,3519600,693,RA Central,Demais municípios,4.9
Monte Mor,265,65713,403.0,0.73,3531803,686,RA de Campinas,RM de Campinas,4.7
Itupeva,261,72596,360.0,0.76,3524006,686,RA de Campinas,RM de Jundiai,4.5
Itapeva,252,89670,281.0,0.73,3522406,696,RA de Itapeva,Demais municípios,5.0
Votuporanga,250,97487,256.0,0.79,3557105,689,RA de São José do Rio Preto,Demais municípios,5.0
Vargem Grande Paulista,247,50875,486.0,0.77,3556453,681,RM  de São Paulo,RM de Sao Paulo,4.6
Vinhedo,237,77402,306.0,0.81,3556701,686,RA de Campinas,RM de Campinas,4.9
Mococa,232,67609,343.0,0.76,3530508,686,RA de Campinas,RM de Ribeirao Preto,4.4
Registro,232,60211,385.0,0.75,3542602,682,RA de Registro,Demais municípios,5.0
Avaré,232,93319,249.0,0.76,3504503,685,RA de Sorocaba,Demais municípios,4.6
Artur Nogueira,229,51964,441.0,0.74,3503802,686,RA de Campinas,RM de Campinas,4.6
Guariba,225,37516,600.0,0.71,3518602,687,RA de Ribeirão Preto,RM de Ribeirao Preto,4.7
Jarinu,218,38541,566.0,0.73,3525201,686,RA de Campinas,RM de Jundiai,4.7
Nova Odessa,213,62711,340.0,0.79,3533403,686,RA de Campinas,RM de Campinas,4.9
Campos do Jordão,212,46787,453.0,0.74,3509700,684,RA de São José dos Campos,RM do Vale do Paraiba e Litoral Norte,4.8
Miracatu,205,18330,1118.0,0.69,3529906,682,RA de Registro,Demais municípios,4.6
Andradina,201,60012,335.0,0.77,3502101,690,RA de Araçatuba,Demais municípios,4.6
Louveira,199,52901,376.0,0.77,3527306,686,RA de Campinas,RM de Jundiai,4.9
Jardinópolis,195,45773,426.0,0.73,3525102,687,RA de Ribeirão Preto,RM de Ribeirao Preto,4.2
