CIDADE,QUANTIDADE_CRIMES,QUANTIDADE_POPULACAO,CRIMES_POR_100K,IDMH,cod_ibge,cod_ra,reg_administrativa,reg_metropolitanas,ideb2019
Lucélia,35,20003,175.0,0.75,3527405,691,RA de Presidente Prudente,Demais municípios,4.5
Bady Bassitt,35,28264,124.0,0.74,3504602,689,RA de São José do Rio Preto,RM São José do Rio Preto,0.0
Bálsamo,34,9716,350.0,0.75,3504800,689,RA de São José do Rio Preto,RM São José do Rio Preto,4.9
Mirante do Paranapanema,34,15781,215.0,0.72,3530201,691,RA de Presidente Prudente,Demais municípios,4.8
Osvaldo Cruz,34,31243,109.0,0.76,3534609,691,RA de Presidente Prudente,Demais municípios,5.2
Joanópolis,34,12836,265.0,0.69,3525508,686,RA de Campinas,Demais municípios,4.8
Pinhalzinho,34,15357,221.0,0.72,3538204,686,RA de Campinas,Demais municípios,4.6
Glicério,34,4084,833.0,0.73,3517109,690,RA de Araçatuba,Demais municípios,3.9
Vera Cruz,33,10125,326.0,0.75,3556602,692,RA de Marília,Demais municípios,4.9
Altinópolis,33,16878,196.0,0.73,3501004,687,RA de Ribeirão Preto,RM de Ribeirao Preto,4.3
Guatapará,33,7327,450.0,0.74,3518859,687,RA de Ribeirão Preto,RM de Ribeirao Preto,4.1
Cristais Paulista,33,9365,352.0,0.73,3513207,695,RA de Franca,Demais municípios,4.7
Pedro de Toledo,32,11340,282.0,0.69,3537206,682,RA de Registro,Demais municípios,4.5
Itapuí,32,13786,232.0,0.72,3522901,688,RA de Bauru,Demais municípios,4.2
Cedral,32,12977,247.0,0.76,3511300,689,RA de São José do Rio Preto,RM São José do Rio Preto,5.2
Jacupiranga,32,15944,201.0,0.71,3524600,682,RA de Registro,Demais municípios,4.4
Panorama,31,14918,208.0,0.72,3535408,691,RA de Presidente Prudente,Demais municípios,4.6
Iacanga,31,10463,296.0,0.74,3519105,688,RA de Bauru,Demais municípios,0.0
Sales Oliveira,31,11460,271.0,0.77,3544905,695,RA de Franca,RM de Ribeirao Preto,4.4
Monte Azul Paulista,30,18050,166.0,0.75,3531506,694,RA de Barretos,Demais municípios,4.4
Caconde,30,16953,177.0,0.72,3508702,686,RA de Campinas,Demais municípios,4.3
Boa Esperança do Sul,30,12895,233.0,0.68,3506706,693,RA Central,Demais municípios,3.7
Laranjal Paulista,30,26310,114.0,0.72,3526407,685,RA de Sorocaba,Demais municípios,4.3
Pirangi,30,10914,275.0,0.75,3539004,694,RA de Barretos,Demais municípios,0.0
Rinópolis,30,9197,326.0,0.72,3543808,692,RA de Marília,Demais municípios,4.1
Gália,30,6305,476.0,0.7,3516606,692,RA de Marília,Demais municípios,0.0
Arealva,30,8150,368.0,0.74,3503406,688,RA de Bauru,Demais municípios,0.0
Regente Feijó,30,20225,148.0,0.76,3542404,691,RA de Presidente Prudente,Demais municípios,4.2
Ipaussu,29,13698,212.0,0.72,3520905,692,RA de Marília,Demais municípios,5.3
Auriflama,29,13634,213.0,0.77,3504206,690,RA de Araçatuba,Demais municípios,4.6
Apiaí,29,24477,118.0,0.71,3502705,696,RA de Itapeva,Demais municípios,4.8
Martinópolis,29,24870,117.0,0.72,3529203,691,RA de Presidente Prudente,Demais municípios,4.9
Guareí,28,15024,186.0,0.68,3518503,685,RA de Sorocaba,Demais municípios,4.2
Aramina,27,5450,495.0,0.74,3503000,695,RA de Franca,Demais municípios,0.0
Ariranha,27,7504,360.0,0.73,3503703,689,RA de São José do Rio Preto,Demais municípios,5.2
Iacri,27,6101,443.0,0.73,3519204,692,RA de Marília,Demais municípios,4.5
Colômbia,27,6660,405.0,0.71,3512100,694,RA de Barretos,Demais municípios,4.6
Pindorama,27,14464,187.0,0.73,3538105,689,RA de São José do Rio Preto,Demais municípios,0.0
Pompéia,27,20154,134.0,0.78,3540002,692,RA de Marília,Demais municípios,4.3
Barra do Turvo,26,6784,383.0,0.64,3505401,682,RA de Registro,Demais municípios,4.4
Estrela d'Oeste,26,9499,274.0,0.76,3515202,689,RA de São José do Rio Preto,Demais municípios,4.8
Bernardino de Campos,26,11650,223.0,0.73,3506300,692,RA de Marília,Demais municípios,4.8
Corumbataí,26,4206,618.0,0.75,3512704,686,RA de Campinas,RM de Piracicaba,4.4
Ribeirão Bonito,26,10852,240.0,0.71,3542909,693,RA Central,Demais municípios,3.9
Cananéia,26,12240,212.0,0.72,3509908,682,RA de Registro,Demais municípios,3.8
Nova Europa,26,9269,281.0,0.76,3532900,693,RA Central,Demais municípios,4.6
Urupês,26,13803,188.0,0.74,3556008,689,RA de São José do Rio Preto,RM São José do Rio Preto,4.7
Álvares Machado,26,27495,95.0,0.75,3501301,691,RA de Presidente Prudente,Demais municípios,4.4
Severínia,25,14425,173.0,0.71,3551900,694,RA de Barretos,RM São José do Rio Preto,4.4
Potim,25,20443,122.0,0.69,3540754,684,RA de São José dos Campos,RM do Vale do Paraiba e Litoral Norte,0.0
Taguaí,25,12774,196.0,0.7,3553005,696,RA de Itapeva,Demais municípios,4.8
Rincão,25,8946,279.0,0.73,3543709,693,RA Central,Demais municípios,3.5
Ibirá,24,11746,204.0,0.74,3519402,689,RA de São José do Rio Preto,RM São José do Rio Preto,4.0
Bofete,24,10501,229.0,0.7,3506904,685,RA de Sorocaba,Demais municípios,4.8
Queluz,24,8964,268.0,0.72,3541901,684,RA de São José dos Campos,RM do Vale do Paraiba e Litoral Norte,0.0
Cunha,24,22110,109.0,0.68,3513603,684,RA de São José dos Campos,RM do Vale do Paraiba e Litoral Norte,4.4
Tabatinga,24,14735,163.0,0.7,3552700,693,RA Central,Demais municípios,5.0
Ipeúna,24,6888,348.0,0.75,3521101,686,RA de Campinas,RM de Piracicaba,4.6
Águas de Santa Bárbara,24,7275,330.0,0.75,3500550,685,RA de Sorocaba,Demais municípios,0.0
Borborema,24,14174,169.0,0.73,3507407,693,RA Central,Demais municípios,4.3
Getulina,24,10157,236.0,0.71,3517000,688,RA de Bauru,Demais municípios,0.0
Terra Roxa,23,7862,293.0,0.74,3554409,694,RA de Barretos,Demais municípios,4.3
Bastos,23,21539,107.0,0.75,3505807,692,RA de Marília,Demais municípios,4.6
Charqueada,23,15535,148.0,0.73,3511706,686,RA de Campinas,RM de Piracicaba,4.5
Valentim Gentil,23,14307,161.0,0.73,3556107,689,RA de São José do Rio Preto,Demais municípios,4.4
Urânia,23,8822,261.0,0.74,3555802,689,RA de São José do Rio Preto,Demais municípios,5.2
Mineiros do Tietê,23,11152,206.0,0.73,3529807,688,RA de Bauru,Demais municípios,0.0
São Luís do Paraitinga,23,10340,222.0,0.69,3550001,684,RA de São José dos Campos,RM do Vale do Paraiba e Litoral Norte,4.9
Cardoso,22,11297,195.0,0.72,3510708,689,RA de São José do Rio Preto,Demais municípios,0.0
Dobrada,22,8823,249.0,0.71,3514007,693,RA Central,Demais municípios,4.1
Saltinho,22,8218,268.0,0.79,3545159,686,RA de Campinas,RM de Piracicaba,0.0
Pirajuí,22,22333,99.0,0.74,3538907,688,RA de Bauru,Demais municípios,4.8
Nuporanga,22,7434,296.0,0.74,3533601,695,RA de Franca,RM de Ribeirao Preto,5.1
Sete Barras,21,12661,166.0,0.67,3551801,682,RA de Registro,Demais municípios,3.9
Santa Gertrudes,21,23696,89.0,0.73,3546702,686,RA de Campinas,RM de Piracicaba,5.0
Paraíso,21,6111,344.0,0.74,3535705,689,RA de São José do Rio Preto,Demais municípios,0.0
Salesópolis,21,15146,139.0,0.73,3545001,681,RM  de São Paulo,RM de Sao Paulo,4.6
Paranapanema,21,15781,133.0,0.71,3535804,696,RA de Itapeva,Demais municípios,4.5
Monteiro Lobato,21,4143,507.0,0.71,3531704,684,RA de São José dos Campos,RM do Vale do Paraiba e Litoral Norte,4.8
Nhandeara,20,9766,205.0,0.75,3532603,689,RA de São José do Rio Preto,Demais municípios,4.4
Itaberá,20,17966,111.0,0.69,3521705,696,RA de Itapeva,Demais municípios,4.6
Piquete,20,12334,162.0,0.75,3538501,684,RA de São José dos Campos,RM do Vale do Paraiba e Litoral Norte,4.2
Guaraci,20,10382,193.0,0.73,3517901,694,RA de Barretos,Demais municípios,4.3
Cajobi,20,9056,221.0,0.73,3509304,694,RA de Barretos,Demais municípios,4.7
Sarapuí,20,10463,191.0,0.7,3551108,685,RA de Sorocaba,RM de Sorocaba,4.4
Roseira,20,10900,183.0,0.73,3544301,684,RA de São José dos Campos,RM do Vale do Paraiba e Litoral Norte,4.3
Duartina,19,12332,154.0,0.74,3514502,688,RA de Bauru,Demais municípios,0.0
Palestina,19,11481,165.0,0.73,3535002,689,RA de São José do Rio Preto,RM São José do Rio Preto,4.7
Junqueirópolis,19,20518,93.0,0.74,3526001,691,RA de Presidente Prudente,Demais municípios,5.0
Chavantes,19,12163,156.0,0.72,3557204,692,RA de Marília,Demais municípios,0.0
Parapuã,19,10537,180.0,0.73,3536000,692,RA de Marília,Demais municípios,4.1
Canas,19,4964,383.0,0.7,3509957,684,RA de São José dos Campos,RM do Vale do Paraiba e Litoral Norte,0.0
Pedregulho,19,15499,123.0,0.71,3537008,695,RA de Franca,Demais municípios,4.2
Alambari,19,6227,305.0,0.71,3500758,685,RA de Sorocaba,RM de Sorocaba,4.6
Salto Grande,19,9049,210.0,0.7,3545407,692,RA de Marília,Demais municípios,4.2
Pongaí,18,3381,532.0,0.75,3540101,688,RA de Bauru,Demais municípios,4.4
São José da Bela Vista,18,7554,238.0,0.69,3549508,695,RA de Franca,Demais municípios,0.0
Luís Antônio,18,12312,146.0,0.73,3527603,687,RA de Ribeirão Preto,RM de Ribeirao Preto,3.8
Lavrinhas,18,7206,250.0,0.72,3526605,684,RA de São José dos Campos,RM do Vale do Paraiba e Litoral Norte,3.7
Itajobi,18,17204,105.0,0.73,3521903,689,RA de São José do Rio Preto,Demais municípios,0.0
Pereiras,18,8791,205.0,0.73,3537503,685,RA de Sorocaba,Demais municípios,4.8
Vista Alegre do Alto,18,8194,220.0,0.74,3556909,694,RA de Barretos,Demais municípios,5.0
Tupi Paulista,18,15943,113.0,0.76,3555109,691,RA de Presidente Prudente,Demais municípios,4.8
Analândia,18,4613,390.0,0.75,3502002,686,RA de Campinas,RM de Piracicaba,4.3
Taiúva,17,6626,257.0,0.76,3553203,694,RA de Barretos,RM de Ribeirao Preto,5.5
Dumont,17,9561,178.0,0.74,3514601,687,RA de Ribeirão Preto,RM de Ribeirao Preto,4.6
Jaci,17,7736,220.0,0.72,3524501,689,RA de São José do Rio Preto,RM São José do Rio Preto,0.0
Jambeiro,17,6480,262.0,0.75,3524907,684,RA de São José dos Campos,RM do Vale do Paraiba e Litoral Norte,4.7
Poloni,17,5575,305.0,0.76,3539905,689,RA de São José do Rio Preto,RM São José do Rio Preto,4.4
Itatinga,17,19093,89.0,0.7,3523503,685,RA de Sorocaba,Demais municípios,4.6
Guaimbê,16,5495,291.0,0.72,3517307,688,RA de Bauru,Demais municípios,4.2
Santa Cruz das Palmeiras,16,28738,56.0,0.72,3546306,686,RA de Campinas,Demais municípios,4.1
Cosmorama,16,8827,181.0,0.72,3512902,689,RA de São José do Rio Preto,Demais municípios,4.9
Ipiguá,16,6938,231.0,0.73,3521150,689,RA de São José do Rio Preto,RM São José do Rio Preto,4.5
Tarumã,16,15012,107.0,0.75,3553955,692,RA de Marília,Demais municípios,4.6
Pardinho,16,7248,221.0,0.72,3536109,685,RA de Sorocaba,Demais municípios,0.0
Rosana,15,17204,87.0,0.76,3544251,691,RA de Presidente Prudente,Demais municípios,4.6
Quatá,15,13166,114.0,0.73,3541703,692,RA de Marília,Demais municípios,4.6
Sabino,15,5091,295.0,0.72,3544608,688,RA de Bauru,Demais municípios,3.5
Divinolândia,15,11120,135.0,0.73,3513900,686,RA de Campinas,Demais municípios,5.0
Palmeira d'Oeste,15,8841,170.0,0.75,3535200,689,RA de São José do Rio Preto,Demais municípios,5.0
Guarantã,15,6421,234.0,0.71,3518107,688,RA de Bauru,Demais municípios,3.3
Itaporanga,15,13998,107.0,0.71,3522802,696,RA de Itapeva,Demais municípios,4.6
Bocaina,15,11261,133.0,0.74,3506805,688,RA de Bauru,Demais municípios,4.4
Ribeirão Branco,15,18620,81.0,0.63,3543006,696,RA de Itapeva,Demais municípios,4.5
Clementina,15,6951,216.0,0.72,3511904,690,RA de Araçatuba,Demais municípios,0.0
Torrinha,15,9321,161.0,0.74,3554706,686,RA de Campinas,Demais municípios,4.3
Mendonça,15,6278,239.0,0.74,3529500,689,RA de São José do Rio Preto,RM São José do Rio Preto,5.4
Serra Azul,14,12858,109.0,0.68,3551405,687,RA de Ribeirão Preto,RM de Ribeirao Preto,4.1
Rifaina,14,4100,341.0,0.74,3543600,695,RA de Franca,Demais municípios,3.9
Lagoinha,14,5092,275.0,0.69,3526308,684,RA de São José dos Campos,RM do Vale do Paraiba e Litoral Norte,4.8
São Sebastião da Grama,14,10296,136.0,0.7,3550803,686,RA de Campinas,Demais municípios,4.3
Santo Antonio do Aracanguá,14,8395,167.0,0.75,3548054,690,RA de Araçatuba,Demais municípios,4.5
Maracaí,13,12551,104.0,0.77,3528809,692,RA de Marília,Demais municípios,4.8
Tuiuti,13,6819,191.0,0.72,3554953,686,RA de Campinas,Demais municípios,4.7
Nova Aliança,13,6748,193.0,0.73,3532801,689,RA de São José do Rio Preto,RM São José do Rio Preto,0.0
Guaraçaí,13,7320,178.0,0.71,3517802,690,RA de Araçatuba,Demais municípios,4.5
Quadra,13,3416,381.0,0.67,3541653,685,RA de Sorocaba,Demais municípios,0.0
Herculândia,13,9145,142.0,0.72,3519006,692,RA de Marília,Demais municípios,3.9
Águas da Prata,12,7355,163.0,0.78,3500402,686,RA de Campinas,Demais municípios,4.6
Presidente Bernardes,12,14510,83.0,0.75,3541208,691,RA de Presidente Prudente,Demais municípios,4.2
Eldorado,12,12887,93.0,0.69,3514809,682,RA de Registro,Demais municípios,4.2
Ubarana,12,5326,225.0,0.7,3555356,689,RA de São José do Rio Preto,RM São José do Rio Preto,4.4
Tarabaí,12,6490,185.0,0.72,3553906,691,RA de Presidente Prudente,Demais municípios,4.3
Palmares Paulista,12,9516,126.0,0.72,3535101,689,RA de São José do Rio Preto,Demais municípios,4.6
Pacaembu,11,14981,73.0,0.72,3534906,691,RA de Presidente Prudente,Demais municípios,3.9
Sales,11,6504,169.0,0.75,3544806,689,RA de São José do Rio Preto,RM São José do Rio Preto,4.8
Tapiraí,11,8001,137.0,0.68,3553500,685,RA de Sorocaba,RM de Sorocaba,4.4
Guzolândia,11,4189,263.0,0.69,3518909,690,RA de Araçatuba,Demais municípios,5.2
Riolândia,11,10259,107.0,0.7,3544202,689,RA de São José do Rio Preto,Demais municípios,3.9
Pedra Bela,11,6619,166.0,0.67,3536802,686,RA de Campinas,Demais municípios,4.8
General Salgado,11,10285,107.0,0.74,3516903,690,RA de Araçatuba,Demais municípios,5.0
Santa Isabel,11,53232,21.0,0.73,3546801,681,RM  de São Paulo,RM de Sao Paulo,4.8
Uchôa,10,10458,96.0,0.72,3555604,689,RA de São José do Rio Preto,RM São José do Rio Preto,5.0
Campina do Monte Alegre,10,5989,167.0,0.71,3509452,696,RA de Itapeva,Demais municípios,0.0
Icém,10,7834,128.0,0.72,3519808,689,RA de São José do Rio Preto,RM São José do Rio Preto,4.2
Sud Mennucci,10,7321,137.0,0.74,3552304,690,RA de Araçatuba,Demais municípios,4.9
Júlio Mesquita,10,4245,236.0,0.71,3525805,692,RA de Marília,Demais municípios,4.2
Iepê,10,7594,132.0,0.73,3519907,691,RA de Presidente Prudente,Demais municípios,4.4
Anhembi,10,5660,177.0,0.72,3502309,685,RA de Sorocaba,Demais municípios,4.3
Ouroeste,10,10404,96.0,0.77,3534757,689,RA de São José do Rio Preto,Demais municípios,0.0
Itirapuã,10,5745,174.0,0.7,3523701,695,RA de Franca,Demais municípios,4.0
Águas de São Pedro,10,2774,360.0,0.85,3500600,686,RA de Campinas,RM de Piracicaba,4.9
Paulo de Faria,9,7311,123.0,0.72,3536604,689,RA de São José do Rio Preto,RM São José do Rio Preto,4.9
Gavião Peixoto,9,4721,191.0,0.71,3516853,693,RA Central,Demais municípios,4.2
Meridiano,9,4625,195.0,0.73,3529609,689,RA de São José do Rio Preto,Demais municípios,5.2
Catiguá,9,6959,129.0,0.75,3511201,689,RA de São José do Rio Preto,Demais municípios,4.3
Pratânia,9,5158,174.0,0.7,3541059,685,RA de Sorocaba,Demais municípios,4.4
Iaras,9,8109,111.0,0.67,3519253,685,RA de Sorocaba,Demais municípios,4.1
São Bento do Sapucaí,9,11737,77.0,0.72,3548609,684,RA de São José dos Campos,RM do Vale do Paraiba e Litoral Norte,5.0
Monte Alegre do Sul,9,8739,103.0,0.75,3531209,686,RA de Campinas,Demais municípios,5.2
Ibirarema,9,6314,143.0,0.7,3519501,692,RA de Marília,Demais municípios,0.0
Barra do Chapéu,9,5162,174.0,0.66,3505351,696,RA de Itapeva,Demais municípios,4.8
Taquarivaí,9,6988,129.0,0.67,3553856,696,RA de Itapeva,Demais municípios,4.4
Narandiba,9,5830,154.0,0.71,3532207,691,RA de Presidente Prudente,Demais municípios,4.5
Santo Antonio de Posse,9,23408,38.0,0.7,3548005,686,RA de Campinas,RM de Campinas,4.6
Canitar,9,6444,140.0,0.68,3510153,692,RA de Marília,Demais municípios,4.1
Três Fronteiras,9,6909,130.0,0.75,3554904,689,RA de São José do Rio Preto,Demais municípios,4.7
Taiaçu,9,5642,160.0,0.71,3553104,694,RA de Barretos,Demais municípios,4.6
Fernando Prestes,8,5973,134.0,0.75,3515608,693,RA Central,Demais municípios,5.1
Bananal,8,9929,81.0,0.73,3504909,684,RA de São José dos Campos,RM do Vale do Paraiba e Litoral Norte,3.5
Jeriquara,8,3909,205.0,0.7,3525409,695,RA de Franca,Demais municípios,4.3
Dourado,8,8054,99.0,0.73,3514304,693,RA Central,Demais municípios,4.9
Rafard,8,8964,89.0,0.74,3542107,686,RA de Campinas,RM de Piracicaba,4.9
Indiaporã,8,4047,198.0,0.75,3520707,689,RA de São José do Rio Preto,Demais municípios,4.4
Pontalinda,8,4104,195.0,0.7,3540259,689,RA de São José do Rio Preto,Demais municípios,4.7
Sebastianópolis do Sul,8,3130,256.0,0.77,3551306,689,RA de São José do Rio Preto,Demais municípios,5.5
Boracéia,7,4773,147.0,0.75,3507308,688,RA de Bauru,Demais municípios,0.0
Américo de Campos,7,5874,119.0,0.74,3501806,689,RA de São José do Rio Preto,Demais municípios,4.1
Echaporã,7,6181,113.0,0.74,3514700,692,RA de Marília,Demais municípios,0.0
Ribeirão do Sul,7,4670,150.0,0.74,3543204,692,RA de Marília,Demais municípios,5.1
Itobi,7,8072,87.0,0.71,3523800,686,RA de Campinas,Demais municípios,3.4
Mombuca,7,3741,187.0,0.71,3530904,686,RA de Campinas,RM de Piracicaba,5.5
Oriente,7,6069,115.0,0.77,3534104,692,RA de Marília,Demais municípios,3.6
Natividade da Serra,7,6998,100.0,0.65,3532306,684,RA de São José dos Campos,RM do Vale do Paraiba e Litoral Norte,4.4
Adolfo,7,4410,159.0,0.73,3500204,689,RA de São José do Rio Preto,RM São José do Rio Preto,4.1
Onda Verde,7,4813,145.0,0.73,3534005,689,RA de São José do Rio Preto,RM São José do Rio Preto,0.0
Orindiúva,7,6035,116.0,0.76,3534203,689,RA de São José do Rio Preto,RM São José do Rio Preto,5.0
Redenção da Serra,7,4536,154.0,0.65,3542305,684,RA de São José dos Campos,RM do Vale do Paraiba e Litoral Norte,4.3
Salmourão,7,4791,146.0,0.71,3545100,691,RA de Presidente Prudente,Demais municípios,4.4
Mira Estrela,7,3138,223.0,0.74,3530003,689,RA de São José do Rio Preto,Demais municípios,4.6
Bilac,7,7307,96.0,0.76,3506409,690,RA de Araçatuba,Demais municípios,4.6
Manduri,7,9925,71.0,0.73,3528601,685,RA de Sorocaba,Demais municípios,0.0
Tapiratiba,7,11709,60.0,0.75,3553609,686,RA de Campinas,Demais municípios,3.9
Luiziânia,6,4667,129.0,0.7,3527702,690,RA de Araçatuba,Demais municípios,4.9
Planalto,6,4361,138.0,0.71,3539608,689,RA de São José do Rio Preto,RM São José do Rio Preto,3.6
Lutécia,6,2655,226.0,0.72,3527900,692,RA de Marília,Demais municípios,5.1
Suzanápolis,6,3402,176.0,0.69,3552551,690,RA de Araçatuba,Demais municípios,4.7
Santana da Ponte Pensa,6,1671,359.0,0.77,3547205,689,RA de São José do Rio Preto,Demais municípios,4.3
Paulicéia,6,8040,75.0,0.71,3536406,691,RA de Presidente Prudente,Demais municípios,3.9
Elisiário,6,3130,192.0,0.74,3514924,689,RA de São José do Rio Preto,Demais municípios,5.0
Indiana,6,5085,118.0,0.76,3520608,691,RA de Presidente Prudente,Demais municípios,4.3
Paulistânia,6,2118,283.0,0.71,3536570,688,RA de Bauru,Demais municípios,5.1
Motuca,6,3980,151.0,0.74,3532058,693,RA Central,Demais municípios,0.0
Macaubal,5,7444,67.0,0.74,3528106,689,RA de São José do Rio Preto,RM São José do Rio Preto,4.4
Floreal,5,2707,185.0,0.74,3515905,689,RA de São José do Rio Preto,Demais municípios,5.1
Parisi,5,2953,169.0,0.72,3536257,689,RA de São José do Rio Preto,Demais municípios,4.2
Novais,5,4388,114.0,0.71,3533254,689,RA de São José do Rio Preto,Demais municípios,4.4
Reginópolis,5,7701,65.0,0.72,3542503,688,RA de Bauru,Demais municípios,0.0
Guarani d'Oeste,5,1963,255.0,0.73,3518008,689,RA de São José do Rio Preto,Demais municípios,0.0
Coroados,5,5395,93.0,0.71,3512506,690,RA de Araçatuba,Demais municípios,4.2
Ocauçu,5,4340,115.0,0.71,3533700,692,RA de Marília,Demais municípios,4.3
Jaborandi,5,6174,81.0,0.71,3524204,694,RA de Barretos,Demais municípios,4.7
Euclides da Cunha Paulista,5,7760,64.0,0.7,3515350,691,RA de Presidente Prudente,Demais municípios,4.4
Avaí,5,4441,113.0,0.71,3504305,688,RA de Bauru,Demais municípios,3.8
Santa Fé do Sul,5,35146,14.0,0.78,3546603,689,RA de São José do Rio Preto,Demais municípios,4.6
Santa Adélia,5,13972,36.0,0.76,3545605,689,RA de São José do Rio Preto,Demais municípios,0.0
Cândido Rodrigues,5,2916,171.0,0.78,3510104,693,RA Central,Demais municípios,4.1
Aparecida d'Oeste,5,4038,124.0,0.72,3502606,689,RA de São José do Rio Preto,Demais municípios,4.1
Borebi,5,2741,182.0,0.7,3507456,688,RA de Bauru,Demais municípios,0.0
Gastão Vidigal,5,3152,159.0,0.72,3516804,690,RA de Araçatuba,Demais municípios,4.9
Presidente Alves,5,3770,133.0,0.73,3541109,688,RA de Bauru,Demais municípios,0.0
Irapuru,4,7011,57.0,0.71,3521606,691,RA de Presidente Prudente,Demais municípios,4.7
Pedranópolis,4,2803,143.0,0.74,3536901,689,RA de São José do Rio Preto,Demais municípios,5.2
Braúna,4,5361,75.0,0.73,3507704,690,RA de Araçatuba,Demais municípios,4.3
Iporanga,4,4028,99.0,0.7,3521200,696,RA de Itapeva,Demais municípios,3.8
Mirassolândia,4,4687,85.0,0.73,3530409,689,RA de São José do Rio Preto,RM São José do Rio Preto,4.5
Santa Cruz do Rio Pardo,4,46539,9.0,0.76,3546405,692,RA de Marília,Demais municípios,4.7
Ribeirão Corrente,4,4618,87.0,0.71,3543105,695,RA de Franca,Demais municípios,4.4
Nipoã,4,4761,84.0,0.71,3532702,689,RA de São José do Rio Preto,RM São José do Rio Preto,4.4
Buritizal,4,4359,92.0,0.73,3508207,695,RA de Franca,Demais municípios,4.4
Álvares Florence,4,3909,102.0,0.72,3501202,689,RA de São José do Rio Preto,Demais municípios,4.7
Populina,4,4116,97.0,0.71,3540408,689,RA de São José do Rio Preto,Demais municípios,5.6
Coronel Macedo,4,4202,95.0,0.69,3512605,696,RA de Itapeva,Demais municípios,4.2
Trabiju,4,1693,236.0,0.72,3554755,693,RA Central,Demais municípios,3.5
Ubirajara,4,5177,77.0,0.72,3555505,688,RA de Bauru,Demais municípios,0.0
Taquaral,4,2607,153.0,0.75,3553658,687,RA de Ribeirão Preto,RM de Ribeirao Preto,4.5
Lupércio,4,3935,102.0,0.72,3527801,692,RA de Marília,Demais municípios,4.4
Marinópolis,4,1834,218.0,0.73,3529104,689,RA de São José do Rio Preto,Demais municípios,5.3
Areiópolis,4,10086,40.0,0.69,3503604,685,RA de Sorocaba,Demais municípios,4.3
Magda,4,3154,127.0,0.75,3528304,689,RA de São José do Rio Preto,Demais municípios,4.9
Macedônia,4,3987,100.0,0.74,3528205,689,RA de São José do Rio Preto,Demais municípios,5.0
Silveiras,3,6213,48.0,0.67,3552007,684,RA de São José dos Campos,RM do Vale do Paraiba e Litoral Norte,4.7
Turmalina,3,1640,183.0,0.73,3555307,689,RA de São José do Rio Preto,Demais municípios,4.5
Mesópolis,3,1947,154.0,0.72,3529658,689,RA de São José do Rio Preto,Demais municípios,4.7
Arandu,3,6935,43.0,0.68,3503109,696,RA de Itapeva,Demais municípios,4.0
Dolcinópolis,3,2215,135.0,0.74,3514205,689,RA de São José do Rio Preto,Demais municípios,5.1
Brejo Alegre,3,2563,117.0,0.71,3507753,690,RA de Araçatuba,Demais municípios,0.0
Riversul,3,5546,54.0,0.66,3543501,696,RA de Itapeva,Demais municípios,4.8
Lourdes,3,1916,157.0,0.74,3527256,690,RA de Araçatuba,Demais municípios,0.0
Nova Campina,3,8484,35.0,0.65,3532827,696,RA de Itapeva,Demais municípios,4.3
Lindóia,3,17937,17.0,0.74,3527009,686,RA de Campinas,Demais municípios,5.1
Bento de Abreu,3,2598,115.0,0.74,3506201,690,RA de Araçatuba,Demais municípios,4.4
Jumirim,3,3072,98.0,0.74,3525854,685,RA de Sorocaba,RM de Sorocaba,4.9
São João de Iracema,3,1849,162.0,0.74,3549250,690,RA de Araçatuba,Demais municípios,4.2
Quintana,3,7127,42.0,0.73,3542008,692,RA de Marília,Demais municípios,4.4
Santo Anastácio,3,17738,17.0,0.75,3547700,691,RA de Presidente Prudente,Demais municípios,3.8
Sarutaiá,3,3711,81.0,0.68,3551207,696,RA de Itapeva,Demais municípios,4.2
Paranapuã,3,4044,74.0,0.73,3535903,689,RA de São José do Rio Preto,Demais municípios,4.2
Marabá Paulista,3,4549,66.0,0.67,3528700,691,RA de Presidente Prudente,Demais municípios,4.4
Tejupá,3,4047,74.0,0.66,3554201,696,RA de Itapeva,Demais municípios,4.1
Itapura,3,3939,76.0,0.72,3523008,690,RA de Araçatuba,Demais municípios,4.5
Nova Independência,3,4718,64.0,0.73,3533205,690,RA de Araçatuba,Demais municípios,0.0
Santa Rosa do Viterbo,3,23310,13.0,0.77,3547601,687,RA de Ribeirão Preto,RM de Ribeirao Preto,4.9
Flórida Paulista,3,12926,23.0,0.71,3516002,691,RA de Presidente Prudente,Demais municípios,3.8
Murutinga do Sul,3,3695,81.0,0.72,3532108,690,RA de Araçatuba,Demais municípios,4.2
São Pedro do Turvo,3,7213,42.0,0.7,3550506,692,RA de Marília,Demais municípios,0.0
Bom Sucesso de Itararé,3,3549,85.0,0.66,3507159,696,RA de Itapeva,Demais municípios,4.4
Barbosa,3,5544,54.0,0.69,3505104,690,RA de Araçatuba,Demais municípios,4.1
Queiroz,3,3305,91.0,0.71,3541802,692,RA de Marília,Demais municípios,0.0
Neves Paulista,3,9740,31.0,0.75,3532504,689,RA de São José do Rio Preto,RM São José do Rio Preto,0.0
Lavínia,3,9747,31.0,0.72,3526506,690,RA de Araçatuba,Demais municípios,5.7
Ribeira,2,3103,64.0,0.69,3542800,696,RA de Itapeva,Demais municípios,4.3
Campos Novos Paulista,2,4890,41.0,0.7,3509809,692,RA de Marília,Demais municípios,4.8
Anhumas,2,4031,50.0,0.74,3502408,691,RA de Presidente Prudente,Demais municípios,4.4
